Name,Description,Priority
alarm.StoragePodSDSRecommendation,alarm.StoragePodSDSRecommendation,
alarm.VdcsHealthAlarm,alarm.VdcsHealthAlarm,
alarm.vsan.health.test.cloudhealth,Alarm for event (vsan.health.test.cloudhealth.event),
alarm.vsan.health.test.dataprotection,Alarm for event (vsan.health.test.dataprotection.event),
alarm.vsan.health.test.dataprotection.archivalaccessibility,Alarm for event (vsan.health.test.dataprotection.archivalaccessibility.event),
alarm.vsan.health.test.dataprotection.dataprotectionversion,Alarm for event (vsan.health.test.dataprotection.dataprotectionversion.event),
alarm.vsan.health.test.dataprotection.datastoreusage,Alarm for event (vsan.health.test.dataprotection.datastoreusage.event),
alarm.vsan.health.test.dataprotection.dpcfgsync,Alarm for event (vsan.health.test.dataprotection.dpcfgsync.event),
alarm.vsan.health.test.dataprotection.dpdliveness,Alarm for event (vsan.health.test.dataprotection.dpdliveness.event),
alarm.vsan.health.test.dataprotection.objectdphealth,Alarm for event (vsan.health.test.dataprotection.objectdphealth.event),
alarm.vsan.health.test.diagnostics.pnic.rxcrcerr,Alarm for event (vsan.health.test.diagnostics.pnic.rxcrcerr.event),
alarm.vsan.health.test.diagnostics.pnic.txcarerr,Alarm for event (vsan.health.test.diagnostics.pnic.txcarerr.event),
alarm.vsan.health.test.diagnostics.tcpip.tcptxrexmitrate,Alarm for event (vsan.health.test.diagnostics.tcpip.tcptxrexmitrate.event),
alarm.vsan.health.test.hcl.firmwareproviderhealth,Alarm for event (vsan.health.test.hcl.firmwareproviderhealth.event),
alarm.vsan.health.test.limits.limit0hf,Alarm for event (vsan.health.test.limits.limit0hf.event),
alarm.vsan.health.test.stretchedcluster.clusterwithmultipleunicastagent,Alarm for event (vsan.health.test.stretchedcluster.clusterwithmultipleunicastagent.event),
alarm.vsan.health.test.vum,Alarm for event (vsan.health.test.vum.event),
alarm.VsanDpsHealthAlarm,alarm.VsanDpsHealthAlarm,
Errors occurred on the disk(s) of a vSAN host,Default alarm that monitors whether there are errors on the host disk(s) in the vSAN cluster.,
Expired vSAN license,Default alarm for expired vSAN license or evaluation period.,
Expired vSAN time-limited license,Default alarm to monitor for expired vSAN time-limited license.,
Host flash capacity exceeds the licensed limit for vSAN,Default alarm to monitor if the capacity of the flash disks on the host exceeds the limit of the vSAN license,
vSAN build recommendation alarm 'vSAN build recommendation',"This is the ESXi build that vSAN recommends to be the most appropriate, given the hardware, its compatibility per VMware Compatibility Guide and the available releases from VMware.",
vSAN build recommendation alarm 'vSAN build recommendation engine',"vSAN Build Recommendation engine relies on VMware Compatibility Guide and VMware release metadata for its recommendation. It also requires VMware Update Manager service to be available, Internet connectivity, and valid my.vmware.com credential to be set. This alarm is triggered if these dependencies are not met or the recommendation engine is not functioning correctly.",
vSAN build recommendation alarm 'vSAN Hosts with new patch available',"Checks if a new critical vSAN patch is available. If this alarm is triggered, upgrade immediately to this patch release. Refer to Ask VMware KB in vSAN health monitor for instructions about how to update vSAN software.",
vSAN build recommendation alarm 'vSAN release catalog up-to-date',"Checks the age of the vSAN release catalog used for vSAN Build Recommendation. This alarm is triggered when it's older than 90 or 180 days, respectively. vSAN release catalog is updated when there are new releases or critical patches, so it's important to keep the local copy up-to-date.",
vSAN capacity utilization alarm 'Component',"Checks the component utilization for the cluster and for each host. This alarm is triggered as warning or error if the utilization exceeds 80% or 90% in any host. When these limits are reached, the deployment of new virtual machines might fail, or a rebuild operations might not be allowed.  Add more hosts or delete some vSAN objects. However, if the component limit is reached in the witness node, you have to replace it with more capacity.",
vSAN capacity utilization alarm 'Read cache reservations',Checks read cache reservations across the cluster. This alarm is triggered as warning or error if the free reservations is less than 30% or 10% of total read cache reservations. This will impact the performance of virtual machines.,
vSAN capacity utilization alarm 'Storage space',"Checks if the usage of vSAN cluster capacity tier disks and vSAN managed datastore under the cluster are beyond the thresholds. If there is not enough free capacity tier disk space, the deployment of new virtual machines might fail or component rebuild operations might not be allowed. The running virtual machines might have a pending question in each impacted virtual machine. Refer to Ask VMware KB in vSAN health monitor to recover the virtual machine and vSAN cluster.",
